,adoc,feedrate,ff,fn,fa,
Actual,1.0,0.20000000298023224,113.30387115478516,468.89019775390625,487.6777038574219,
Prediction,1.0,0.20000000298023224,110.14553833007812,466.5406188964844,467.81884765625,
Per Dev,1.0,0.20000000298023224,2.7874889373779297,0.5010936260223389,4.072127342224121,
,
Actual,1.0,0.23999999463558197,196.24085998535156,811.7391967773438,629.9757690429688,
Prediction,1.0,0.23999999463558197,121.14694213867188,526.9158935546875,505.0351257324219,
Per Dev,1.0,0.23999999463558197,38.26620101928711,35.08803176879883,19.832611083984375,
,
Actual,1.0,0.25,229.88095092773438,812.1978149414062,659.0889282226562,
Prediction,1.0,0.25,123.4234619140625,541.8035278320312,509.65911865234375,
Per Dev,1.0,0.25,46.30983352661133,33.29167938232422,22.672178268432617,
,
Actual,1.0,0.27000001072883606,243.89019775390625,886.540283203125,676.8283081054688,
Prediction,1.0,0.27000001072883606,128.1282196044922,575.8861694335938,520.1146240234375,
Per Dev,1.0,0.27000001072883606,47.46479415893555,35.041175842285156,23.154125213623047,
,
Actual,1.0,0.27000001072883606,243.90676879882812,886.6287231445312,676.8494262695312,
Prediction,1.0,0.27000001072883606,128.1282196044922,575.8861694335938,520.1146240234375,
Per Dev,1.0,0.27000001072883606,47.468360900878906,35.04765319824219,23.156524658203125,
,
Actual,1.399999976158142,0.20999999344348907,244.52987670898438,889.9542236328125,677.6439819335938,
Prediction,1.399999976158142,0.20999999344348907,166.76649475097656,640.4779663085938,578.842041015625,
Per Dev,1.399999976158142,0.20999999344348907,31.801179885864258,28.032482147216797,14.58021354675293,
,
Actual,1.399999976158142,0.23999999463558197,259.880126953125,972.2193603515625,697.3319702148438,
Prediction,1.399999976158142,0.23999999463558197,178.75497436523438,711.1749877929688,596.9909057617188,
Per Dev,1.399999976158142,0.23999999463558197,31.216373443603516,26.850357055664062,14.3892822265625,
,
Actual,1.399999976158142,0.23999999463558197,121.48810577392578,528.6990966796875,505.0004577636719,
Prediction,1.399999976158142,0.23999999463558197,178.75497436523438,711.1749877929688,596.9909057617188,
Per Dev,1.399999976158142,0.23999999463558197,47.137840270996094,34.514129638671875,18.215913772583008,
,
Actual,1.399999976158142,0.25999999046325684,125.55655670166016,558.6961669921875,513.7190551757812,
Prediction,1.399999976158142,0.25999999046325684,186.63668823242188,762.5950927734375,610.3284301757812,
Per Dev,1.399999976158142,0.25999999046325684,48.64750671386719,36.4954948425293,18.805877685546875,
,
Actual,1.399999976158142,0.2800000011920929,130.0776824951172,592.5321044921875,523.6012573242188,
Prediction,1.399999976158142,0.2800000011920929,195.0475311279297,807.1146850585938,625.9801635742188,
Per Dev,1.399999976158142,0.2800000011920929,49.94696044921875,36.214508056640625,19.552839279174805,
,
Actual,1.7999999523162842,0.20999999344348907,128.603515625,581.162841796875,520.2667236328125,
Prediction,1.7999999523162842,0.20999999344348907,227.02247619628906,802.0501098632812,654.6263427734375,
Per Dev,1.7999999523162842,0.20999999344348907,76.52898406982422,38.0078125,25.82514190673828,
,
Actual,1.7999999523162842,0.23000000417232513,168.227783203125,649.4216918945312,581.5665893554688,
Prediction,1.7999999523162842,0.23000000417232513,239.0332489013672,858.4251708984375,670.478515625,
Per Dev,1.7999999523162842,0.23000000417232513,42.089046478271484,32.183013916015625,15.288348197937012,
,
Actual,1.7999999523162842,0.23000000417232513,180.56430053710938,725.2728271484375,601.6427612304688,
Prediction,1.7999999523162842,0.23000000417232513,239.0332489013672,858.4251708984375,670.478515625,
Per Dev,1.7999999523162842,0.23000000417232513,32.38123321533203,18.358932495117188,11.441300392150879,
,
Actual,1.7999999523162842,0.23999999463558197,181.8154754638672,733.0115966796875,603.6945190429688,
Prediction,1.7999999523162842,0.23999999463558197,244.26895141601562,888.5836181640625,677.5543212890625,
Per Dev,1.7999999523162842,0.23999999463558197,34.34992599487305,21.223678588867188,12.234631538391113,
,
Actual,1.7999999523162842,0.25999999046325684,190.62730407714844,776.6132202148438,620.62939453125,
Prediction,1.7999999523162842,0.25999999046325684,255.82093811035156,951.0010986328125,691.3585205078125,
Per Dev,1.7999999523162842,0.25999999046325684,34.199527740478516,22.454919815063477,11.396354675292969,
,
Actual,1.0,0.20000000298023224,110.85746002197266,464.3297119140625,478.8748779296875,
Prediction,1.0,0.20000000298023224,110.14553833007812,466.5406188964844,467.81884765625,
Per Dev,1.0,0.20000000298023224,0.6421955823898315,0.4761502146720886,2.308751344680786,
,
Actual,1.059999942779541,0.20000000298023224,202.2538299560547,778.03662109375,629.4655151367188,
Prediction,1.059999942779541,0.20000000298023224,117.46051788330078,489.4353942871094,484.3271789550781,
Per Dev,1.059999942779541,0.20000000298023224,41.9242057800293,37.09352493286133,23.057392120361328,
,
Actual,1.7400000095367432,0.20000000298023224,208.3525390625,843.0318603515625,645.1321411132812,
Prediction,1.7400000095367432,0.20000000298023224,211.4456787109375,753.7249145507812,634.6925048828125,
Per Dev,1.7400000095367432,0.20000000298023224,1.4845701456069946,10.59354305267334,1.6182167530059814,
,
Actual,1.2400000095367432,0.20000000298023224,249.37132263183594,963.4188232421875,688.7462768554688,
Prediction,1.2400000095367432,0.20000000298023224,140.8788299560547,558.4000854492188,530.5630493164062,
Per Dev,1.2400000095367432,0.20000000298023224,43.50640106201172,42.039737701416016,22.96683692932129,
,
Actual,1.5800000429153442,0.20000000298023224,141.94190979003906,556.7432250976562,535.6363525390625,
Prediction,1.5800000429153442,0.20000000298023224,188.2349090576172,690.6947631835938,606.5018920898438,
Per Dev,1.5800000429153442,0.20000000298023224,32.61404800415039,24.05984115600586,13.230158805847168,
,
Actual,1.399999976158142,0.23999999463558197,212.7884979248047,746.9686889648438,638.6466064453125,
Prediction,1.399999976158142,0.23999999463558197,178.75497436523438,711.1749877929688,596.9909057617188,
Per Dev,1.399999976158142,0.23999999463558197,15.994061470031738,4.791861057281494,6.522496223449707,
,
Actual,1.399999976158142,0.23999999463558197,118.58684539794922,488.1097717285156,494.0842590332031,
Prediction,1.399999976158142,0.23999999463558197,178.75497436523438,711.1749877929688,596.9909057617188,
Per Dev,1.399999976158142,0.23999999463558197,50.737606048583984,45.699806213378906,20.8277530670166,
,
Actual,1.1200000047683716,0.23999999463558197,189.3744659423828,687.5579223632812,609.7946166992188,
Prediction,1.1200000047683716,0.23999999463558197,137.03211975097656,579.0517578125,530.9061279296875,
Per Dev,1.1200000047683716,0.23999999463558197,27.63960075378418,15.781384468078613,12.936894416809082,
,
Actual,1.2300000190734863,0.23999999463558197,243.19412231445312,946.5744018554688,682.1727294921875,
Prediction,1.2300000190734863,0.23999999463558197,152.6684112548828,631.9248657226562,554.6640625,
Per Dev,1.2300000190734863,0.23999999463558197,37.2236442565918,33.240867614746094,18.691551208496094,
,
Actual,1.5399999618530273,0.23999999463558197,153.11248779296875,635.1434326171875,555.771240234375,
Prediction,1.5399999618530273,0.23999999463558197,200.81895446777344,773.735107421875,628.3933715820312,
Per Dev,1.5399999618530273,0.23999999463558197,31.15778923034668,21.820531845092773,13.066909790039062,
,
Actual,1.2999999523162842,0.2800000011920929,250.32667541503906,966.0127563476562,689.7491455078125,
Prediction,1.2999999523162842,0.2800000011920929,176.94927978515625,750.1256103515625,596.8507080078125,
Per Dev,1.2999999523162842,0.2800000011920929,29.312654495239258,22.348270416259766,13.468438148498535,
,
Actual,1.6699999570846558,0.2800000011920929,178.23646545410156,756.9151000976562,596.9802856445312,
Prediction,1.6699999570846558,0.2800000011920929,243.20545959472656,939.1544189453125,682.7980346679688,
Per Dev,1.6699999570846558,0.2800000011920929,36.451011657714844,24.076587677001953,14.375307083129883,
,
Actual,1.7000000476837158,0.2800000011920929,178.85641479492188,713.0235595703125,598.6901245117188,
Prediction,1.7000000476837158,0.2800000011920929,248.7476043701172,952.615478515625,688.960205078125,
Per Dev,1.7000000476837158,0.2800000011920929,39.07670211791992,33.60224533081055,15.077930450439453,
,
Actual,1.7100000381469727,0.2800000011920929,179.4507598876953,714.711669921875,599.5158081054688,
Prediction,1.7100000381469727,0.2800000011920929,250.7034149169922,957.3187866210938,691.27685546875,
Per Dev,1.7100000381469727,0.2800000011920929,39.705963134765625,33.94475173950195,15.305858612060547,
,
Actual,1.4700000286102295,0.2800000011920929,136.53260803222656,584.7577514648438,528.5228271484375,
Prediction,1.4700000286102295,0.2800000011920929,207.0498504638672,842.4757690429688,641.9620361328125,
Per Dev,1.4700000286102295,0.2800000011920929,51.64864730834961,44.07261276245117,21.46344566345215,
,

Mean,,,36.323814392089844,27.564889907836914,15.651180267333984
95th percentile,,,51.64864730834961,44.07261276245117,23.156524658203125
99th percentile,,,76.52898406982422,45.699806213378906,25.82514190673828
Worst,,,76.52898406982422,45.699806213378906,25.82514190673828,
