,adoc,feedrate,ff,fn,fa,
Actual,1.0,0.20000000298023224,113.30387115478516,468.89019775390625,487.6777038574219,
Prediction,1.0,0.20000000298023224,110.13832092285156,477.53173828125,476.18756103515625,
Per Dev,1.0,0.20000000298023224,2.793858766555786,1.842977523803711,2.356093645095825,
,
Actual,1.0,0.23999999463558197,196.24085998535156,811.7391967773438,629.9757690429688,
Prediction,1.0,0.23999999463558197,122.0636215209961,523.9510498046875,501.68560791015625,
Per Dev,1.0,0.23999999463558197,37.79907989501953,35.453277587890625,20.364301681518555,
,
Actual,1.0,0.25,229.88095092773438,812.1978149414062,659.0889282226562,
Prediction,1.0,0.25,125.2180404663086,536.18310546875,508.31365966796875,
Per Dev,1.0,0.25,45.52918243408203,33.983680725097656,22.87631607055664,
,
Actual,1.0,0.27000001072883606,243.89019775390625,886.540283203125,676.8283081054688,
Prediction,1.0,0.27000001072883606,131.49331665039062,560.5289916992188,521.5189208984375,
Per Dev,1.0,0.27000001072883606,46.08503341674805,36.77342987060547,22.946645736694336,
,
Actual,1.0,0.27000001072883606,243.90676879882812,886.6287231445312,676.8494262695312,
Prediction,1.0,0.27000001072883606,131.49331665039062,560.5289916992188,521.5189208984375,
Per Dev,1.0,0.27000001072883606,46.08869934082031,36.77973937988281,22.94904899597168,
,
Actual,1.399999976158142,0.20999999344348907,244.52987670898438,889.9542236328125,677.6439819335938,
Prediction,1.399999976158142,0.20999999344348907,165.59251403808594,663.8348388671875,528.1680908203125,
Per Dev,1.399999976158142,0.20999999344348907,32.28127670288086,25.407978057861328,22.05817413330078,
,
Actual,1.399999976158142,0.23999999463558197,259.880126953125,972.2193603515625,697.3319702148438,
Prediction,1.399999976158142,0.23999999463558197,177.91908264160156,737.7117919921875,536.2257080078125,
Per Dev,1.399999976158142,0.23999999463558197,31.53801918029785,24.120849609375,23.10323715209961,
,
Actual,1.399999976158142,0.23999999463558197,121.48810577392578,528.6990966796875,505.0004577636719,
Prediction,1.399999976158142,0.23999999463558197,177.91908264160156,737.7117919921875,536.2257080078125,
Per Dev,1.399999976158142,0.23999999463558197,46.44979476928711,39.53339385986328,6.1832122802734375,
,
Actual,1.399999976158142,0.25999999046325684,125.55655670166016,558.6961669921875,513.7190551757812,
Prediction,1.399999976158142,0.25999999046325684,189.01649475097656,800.0240478515625,578.9619750976562,
Per Dev,1.399999976158142,0.25999999046325684,50.54290771484375,43.19483184814453,12.700117111206055,
,
Actual,1.399999976158142,0.2800000011920929,130.0776824951172,592.5321044921875,523.6012573242188,
Prediction,1.399999976158142,0.2800000011920929,196.19195556640625,833.960693359375,605.0699462890625,
Per Dev,1.399999976158142,0.2800000011920929,50.82676315307617,40.745235443115234,15.55929946899414,
,
Actual,1.7999999523162842,0.20999999344348907,128.603515625,581.162841796875,520.2667236328125,
Prediction,1.7999999523162842,0.20999999344348907,222.93392944335938,824.8944702148438,638.9462890625,
Per Dev,1.7999999523162842,0.20999999344348907,73.34979248046875,41.9386100769043,22.81129264831543,
,
Actual,1.7999999523162842,0.23000000417232513,168.227783203125,649.4216918945312,581.5665893554688,
Prediction,1.7999999523162842,0.23000000417232513,234.57754516601562,874.4376831054688,663.0391235351562,
Per Dev,1.7999999523162842,0.23000000417232513,39.4404296875,34.6486701965332,14.009149551391602,
,
Actual,1.7999999523162842,0.23000000417232513,180.56430053710938,725.2728271484375,601.6427612304688,
Prediction,1.7999999523162842,0.23000000417232513,234.57754516601562,874.4376831054688,663.0391235351562,
Per Dev,1.7999999523162842,0.23000000417232513,29.9135799407959,20.566722869873047,10.204787254333496,
,
Actual,1.7999999523162842,0.23999999463558197,181.8154754638672,733.0115966796875,603.6945190429688,
Prediction,1.7999999523162842,0.23999999463558197,240.1410369873047,898.494140625,674.0621948242188,
Per Dev,1.7999999523162842,0.23999999463558197,32.07953643798828,22.575706481933594,11.656172752380371,
,
Actual,1.7999999523162842,0.25999999046325684,190.62730407714844,776.6132202148438,620.62939453125,
Prediction,1.7999999523162842,0.25999999046325684,252.58969116210938,953.8241577148438,697.5533447265625,
