,adoc,feedrate,ff,fn,fa,
Actual,1.0,0.20000000298023224,113.30387115478516,468.89019775390625,487.6777038574219,
Prediction,1.0,0.20000000298023224,109.31267547607422,455.5948181152344,475.8990478515625,
Per Dev,1.0,0.20000000298023224,3.5225589275360107,2.8354997634887695,2.4152541160583496,
,
Actual,1.0,0.23999999463558197,196.24085998535156,811.7391967773438,629.9757690429688,
Prediction,1.0,0.23999999463558197,122.42394256591797,521.8115234375,504.0286560058594,
Per Dev,1.0,0.23999999463558197,37.61547088623047,35.71685028076172,19.992374420166016,
,
Actual,1.0,0.25,229.88095092773438,812.1978149414062,659.0889282226562,
Prediction,1.0,0.25,125.01697540283203,537.6328735351562,508.75250244140625,
Per Dev,1.0,0.25,45.61664581298828,33.805179595947266,22.809734344482422,
,
Actual,1.0,0.27000001072883606,243.89019775390625,886.540283203125,676.8283081054688,
Prediction,1.0,0.27000001072883606,130.1741180419922,571.18701171875,519.610595703125,
Per Dev,1.0,0.27000001072883606,46.62593460083008,35.57122802734375,23.228595733642578,
,
Actual,1.0,0.27000001072883606,243.90676879882812,886.6287231445312,676.8494262695312,
Prediction,1.0,0.27000001072883606,130.1741180419922,571.18701171875,519.610595703125,
Per Dev,1.0,0.27000001072883606,46.62955856323242,35.57765579223633,23.23099136352539,
,
Actual,1.399999976158142,0.20999999344348907,244.52987670898438,889.9542236328125,677.6439819335938,
Prediction,1.399999976158142,0.20999999344348907,168.40293884277344,643.1185913085938,563.6712646484375,
Per Dev,1.399999976158142,0.20999999344348907,31.1319580078125,27.735767364501953,16.818967819213867,
,
Actual,1.399999976158142,0.23999999463558197,259.880126953125,972.2193603515625,697.3319702148438,
Prediction,1.399999976158142,0.23999999463558197,178.35643005371094,707.8514404296875,588.9522705078125,
Per Dev,1.399999976158142,0.23999999463558197,31.36972999572754,27.19220733642578,15.542052268981934,
,
Actual,1.399999976158142,0.23999999463558197,121.48810577392578,528.6990966796875,505.0004577636719,
Prediction,1.399999976158142,0.23999999463558197,178.35643005371094,707.8514404296875,588.9522705078125,
Per Dev,1.399999976158142,0.23999999463558197,46.80978775024414,33.885501861572266,16.624107360839844,
,
Actual,1.399999976158142,0.25999999046325684,125.55655670166016,558.6961669921875,513.7190551757812,
Prediction,1.399999976158142,0.25999999046325684,185.66969299316406,757.4917602539062,602.9683837890625,
Per Dev,1.399999976158142,0.25999999046325684,47.87733840942383,35.58205795288086,17.373178482055664,
,
Actual,1.399999976158142,0.2800000011920929,130.0776824951172,592.5321044921875,523.6012573242188,
Prediction,1.399999976158142,0.2800000011920929,192.67872619628906,800.697021484375,618.1965942382812,
Per Dev,1.399999976158142,0.2800000011920929,48.12588882446289,35.13141632080078,18.066293716430664,
,
Actual,1.7999999523162842,0.20999999344348907,128.603515625,581.162841796875,520.2667236328125,
Prediction,1.7999999523162842,0.20999999344348907,221.89035034179688,826.6004028320312,653.207763671875,
Per Dev,1.7999999523162842,0.20999999344348907,72.53832244873047,42.23215103149414,25.552478790283203,
,
Actual,1.7999999523162842,0.23000000417232513,168.227783203125,649.4216918945312,581.5665893554688,
Prediction,1.7999999523162842,0.23000000417232513,233.0169677734375,869.3562622070312,666.9049072265625,
Per Dev,1.7999999523162842,0.23000000417232513,38.51277160644531,33.86621856689453,14.673869132995605,
,
Actual,1.7999999523162842,0.23000000417232513,180.56430053710938,725.2728271484375,601.6427612304688,
Prediction,1.7999999523162842,0.23000000417232513,233.0169677734375,869.3562622070312,666.9049072265625,
Per Dev,1.7999999523162842,0.23000000417232513,29.049301147460938,19.86610221862793,10.847325325012207,
,
Actual,1.7999999523162842,0.23999999463558197,181.8154754638672,733.0115966796875,603.6945190429688,
Prediction,1.7999999523162842,0.23999999463558197,239.61593627929688,894.6514282226562,674.3358764648438,
Per Dev,1.7999999523162842,0.23999999463558197,31.790727615356445,22.051469802856445,11.701507568359375,
,
Actual,1.7999999523162842,0.25999999046325684,190.62730407714844,776.6132202148438,620.62939453125,
Prediction,1.7999999523162842,0.25999999046325684,254.05789184570312,949.8553466796875,691.2243041992188,
Per Dev,1.7999999523162842,0.25999999046325684,33.274658203125,22.307388305664062,11.374728202819824,
,
Actual,1.0,0.20000000298023224,110.85746002197266,464.3297119140625,478.8748779296875,
Prediction,1.0,0.20000000298023224,109.31267547607422,455.5948181152344,475.8990478515625,
Per Dev,1.0,0.20000000298023224,1.3934872150421143,1.8811835050582886,0.621421217918396,
,
Actual,1.059999942779541,0.20000000298023224,202.2538299560547,778.03662109375,629.4655151367188,
Prediction,1.059999942779541,0.20000000298023224,117.668701171875,486.78662109375,494.46466064453125,
Per Dev,1.059999942779541,0.20000000298023224,41.82127380371094,37.4339714050293,21.446903228759766,
,
Actual,1.7400000095367432,0.20000000298023224,208.3525390625,843.0318603515625,645.1321411132812,
Prediction,1.7400000095367432,0.20000000298023224,209.2606964111328,778.4788208007812,635.9998168945312,
Per Dev,1.7400000095367432,0.20000000298023224,0.4358753561973572,7.657247543334961,1.4155741930007935,
,
Actual,1.2400000095367432,0.20000000298023224,249.37132263183594,963.4188232421875,688.7462768554688,
Prediction,1.2400000095367432,0.20000000298023224,139.17262268066406,559.121337890625,532.6338500976562,
Per Dev,1.2400000095367432,0.20000000298023224,44.19060516357422,41.964874267578125,22.666173934936523,
,
Actual,1.5800000429153442,0.20000000298023224,141.94190979003906,556.7432250976562,535.6363525390625,
Prediction,1.5800000429153442,0.20000000298023224,189.8058624267578,707.563232421875,604.2823486328125,
Per Dev,1.5800000429153442,0.20000000298023224,33.720802307128906,27.08968734741211,12.815783500671387,
,
Actual,1.399999976158142,0.23999999463558197,212.7884979248047,746.9686889648438,638.6466064453125,
Prediction,1.399999976158142,0.23999999463558197,178.35643005371094,707.8514404296875,588.9522705078125,
Per Dev,1.399999976158142,0.23999999463558197,16.18135643005371,5.2367987632751465,7.781194686889648,
,
Actual,1.399999976158142,0.23999999463558197,118.58684539794922,488.1097717285156,494.0842590332031,
Prediction,1.399999976158142,0.23999999463558197,178.35643005371094,707.8514404296875,588.9522705078125,
Per Dev,1.399999976158142,0.23999999463558197,50.40153121948242,45.01890182495117,19.200777053833008,
,
Actual,1.1200000047683716,0.23999999463558197,189.3744659423828,687.5579223632812,609.7946166992188,
Prediction,1.1200000047683716,0.23999999463558197,137.7706756591797,587.2314453125,533.7860717773438,
Per Dev,1.1200000047683716,0.23999999463558197,27.249605178833008,14.591712951660156,12.464613914489746,
,
Actual,1.2300000190734863,0.23999999463558197,243.19412231445312,946.5744018554688,682.1727294921875,
Prediction,1.2300000190734863,0.23999999463558197,152.4068603515625,633.501708984375,556.1310424804688,
Per Dev,1.2300000190734863,0.23999999463558197,37.33119201660156,33.074283599853516,18.476505279541016,
,
Actual,1.5399999618530273,0.23999999463558197,153.11248779296875,635.1434326171875,555.771240234375,
Prediction,1.5399999618530273,0.23999999463558197,200.47633361816406,751.1779174804688,625.474853515625,
Per Dev,1.5399999618530273,0.23999999463558197,30.934017181396484,18.269020080566406,12.541781425476074,
,
Actual,1.2999999523162842,0.2800000011920929,250.32667541503906,966.0127563476562,689.7491455078125,
Prediction,1.2999999523162842,0.2800000011920929,178.0775604248047,743.7186889648438,598.6981201171875,
Per Dev,1.2999999523162842,0.2800000011920929,28.86193084716797,23.011503219604492,13.200600624084473,
,
Actual,1.6699999570846558,0.2800000011920929,178.23646545410156,756.9151000976562,596.9802856445312,
Prediction,1.6699999570846558,0.2800000011920929,248.36773681640625,930.0999755859375,684.7344970703125,
Per Dev,1.6699999570846558,0.2800000011920929,39.347320556640625,22.88035774230957,14.699682235717773,
,
Actual,1.7000000476837158,0.2800000011920929,178.85641479492188,713.0235595703125,598.6901245117188,
Prediction,1.7000000476837158,0.2800000011920929,252.7982940673828,946.4089965820312,689.5914306640625,
Per Dev,1.7000000476837158,0.2800000011920929,41.34147644042969,32.7318000793457,15.183364868164062,
,
Actual,1.7100000381469727,0.2800000011920929,179.4507598876953,714.711669921875,599.5158081054688,
Prediction,1.7100000381469727,0.2800000011920929,254.61810302734375,953.3388061523438,691.7216186523438,
Per Dev,1.7100000381469727,0.2800000011920929,41.887447357177734,33.38788604736328,15.380046844482422,
,
Actual,1.4700000286102295,0.2800000011920929,136.53260803222656,584.7577514648438,528.5228271484375,
Prediction,1.4700000286102295,0.2800000011920929,210.8861083984375,808.4671020507812,644.7726440429688,
Per Dev,1.4700000286102295,0.2800000011920929,54.45841979980469,38.25675582885742,21.99523162841797,
,

Mean,,,36.00156784057617,27.52808952331543,15.33803653717041
95th percentile,,,54.45841979980469,42.23215103149414,23.23099136352539
99th percentile,,,72.53832244873047,45.01890182495117,25.552478790283203
