1,0.2,109.8236528,461.0817545,476.7627145
1,0.21,114.2503314,475.7256749,489.6503608
1,0.22,116.5814783,492.5325845,494.5076163
1,0.23,118.9031235,509.3739388,499.3824089
1,0.24,121.1592289,526.2717867,504.2959869
1,0.25,123.4507212,543.1841793,509.2077664
1,0.26,125.7493214,560.1164307,514.132511
1,0.27,128.0506534,577.083625,519.0766729
1,0.28,130.2907225,594.1095911,524.0623431
1,0.29,132.590818,611.1531906,529.049041
1.01,0.2,111.073856,465.008035,479.3149399
1.01,0.21,115.5513985,479.7933891,492.271314
1.01,0.22,117.9192109,496.7652296,497.1643787
1.01,0.23,120.2774414,513.7717468,502.075056
1.01,0.24,122.5707113,530.8348651,507.0243038
1.01,0.25,124.8979437,547.9128899,511.9720741
1.01,0.26,127.2323924,565.0104858,516.93269
1.01,0.27,129.569357,582.1432719,521.9127923
1.01,0.28,131.8453106,599.3349103,526.9341678
1.01,0.29,134.180578,616.5444182,531.9568714
1.02,0.2,112.3286391,468.9308013,481.8527558
1.02,0.21,116.9086183,483.8390433,494.8591287
1.02,0.22,119.2616856,500.9943536,499.8060671
1.02,0.23,121.6567163,518.1660223,504.7524177
1.02,0.24,124.0444214,535.3742919,509.717563
1.02,0.25,126.3505729,552.6380376,514.7206707
1.02,0.26,128.7210934,569.9009601,519.7169439
1.02,0.27,131.0939124,587.1993242,524.7327733
1.02,0.28,133.4685318,604.5350177,529.7689216
1.02,0.29,135.7766594,621.9320163,534.848133
1.03,0.2,113.587959,472.8501009,484.3763102
1.03,0.21,115.9717397,490.1180523,489.3357183
1.03,0.22,120.6088574,505.2200053,502.432834
1.03,0.23,123.040901,522.5568144,507.414647
1.03,0.24,125.4656753,539.9304337,512.4153297
1.03,0.25,127.8085556,557.3596719,517.4537092
1.03,0.26,130.2153689,574.7879032,522.4854261
1.03,0.27,132.6242613,592.2518319,527.5367695
1.03,0.28,135.0347436,609.753241,532.6084654
1.03,0.29,137.3789976,627.3160344,537.7229803
1.04,0.2,114.8517743,476.7659809,486.885747
1.04,0.21,117.2731358,494.1985861,491.8805258
1.04,0.22,121.9606821,509.4422315,505.0448277
1.04,0.23,124.4299478,526.9441707,510.0618925
1.04,0.24,126.8920084,544.4831284,515.0979012
1.04,0.25,129.2718397,562.0778409,520.1713393
1.04,0.26,131.7151645,579.6713629,525.2382862
1.04,0.27,134.160347,597.3008433,530.3249317
1.04,0.28,136.60691,614.9679542,535.4319618
1.04,0.29,139.0547943,632.6732266,540.5597032
1.05,0.2,116.1200425,480.6784862,489.3812076
1.05,0.21,118.5791966,498.275732,494.4111475
1.05,0.22,123.3745195,513.6403843,507.6224511
1.05,0.23,125.8238109,531.328138,512.6942994
1.05,0.24,128.3233709,549.0324227,517.7654237
1.05,0.25,130.8025325,566.7705783,522.8529563
1.05,0.26,133.2204254,584.5513864,527.9756712
1.05,0.27,135.7021119,602.3464055,533.0974059
1.05,0.28,138.184972,620.1792052,538.2395581
1.05,0.29,140.6689381,638.0503144,543.4024518
1.06,0.2,117.3927225,484.5876616,491.8628297
1.06,0.21,119.8898785,502.3495348,496.9277205
1.06,0.22,122.3978729,520.1521062,502.012856
1.06,0.23,127.222444,535.7087614,515.3120103
1.06,0.24,129.7597154,553.5783623,520.4180389
1.06,0.25,132.2756588,571.4820795,525.54051
1.06,0.26,134.7310989,589.4280201,530.6977234
1.06,0.27,137.2495011,607.3885646,535.8543361
1.06,0.28,139.7688713,625.3870399,541.0313976
1.06,0.29,142.2891347,643.4239731,546.2292313
1.07,0.2,118.7056873,488.4726198,494.3130596
1.07,0.21,121.2051382,506.4200378,499.4303804
1.07,0.22,123.7511923,524.3874284,504.550308
1.07,0.23,128.6258022,540.0860858,517.9151634
1.07,0.24,131.2009934,558.1209915,523.0558867
1.07,0.25,133.7539205,576.190259,528.2130842
1.07,0.26,136.247132,594.3013082,533.4045831
1.07,0.27,138.8024588,612.4273659,538.5958618
1.07,0.28,141.3585501,630.5915041,543.8076213
1.07,0.29,143.9153237,648.7942481,549.0401822
1.08,0.2,119.9868255,492.3754244,496.767701
1.08,0.21,122.5249336,510.4872834,501.9192591
1.08,0.22,125.109252,528.6194797,507.0737695
1.08,0.23,130.0972805,544.4371943,520.4826762
1.08,0.24,132.6471584,562.6603541,525.6791031
1.08,0.25,135.2372688,580.8951611,530.870816
1.08,0.26,137.8358787,599.1472908,536.0744563
1.08,0.27,140.3609314,617.4628533,541.3221205
1.08,0.28,142.9539519,635.7926415,546.5683659
1.08,0.29,145.5474455,654.161183,551.8354426
1.09,0.2,121.2722431,496.2750312,499.2088986
1.09,0.21,123.849222,514.5513132,504.3944855
1.09,0.22,126.4720074,532.8483026,509.583369
1.09,0.23,129.0846523,551.1822695,514.7892328
1.09,0.24,134.0978449,567.1964457,528.2877756
1.09,0.25,136.7256548,585.5968278,533.5138384
1.09,0.26,139.3618247,604.0141508,538.7516566
1.09,0.27,141.9248646,622.4950699,544.0332462
1.09,0.28,144.5550206,640.9904954,549.3137663
1.09,0.29,147.1854422,659.5248219,554.6151469
1.1,0.2,122.5619009,500.1714805,501.6367781
1.1,0.21,125.2194854,518.5886215,506.836878
1.1,0.22,127.8394152,537.0739371,512.0792336
1.1,0.23,130.49068,555.5729248,517.3193345
1.1,0.24,135.5530328,571.7293123,530.8820389
1.1,0.25,138.2190303,590.2953014,536.1422819
1.1,0.26,140.8929637,608.8778009,541.4140672
1.1,0.27,143.5676515,627.4978538,546.7059434
1.1,0.28,146.1617012,646.1851083,552.0439536
