RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m),,,,RPM,ADOC(mm),Feedrate(mm/min),RMS(Feed),RMS(Normal),RMS(Axial),RMS-Instantaneous(n-m),RMS-Cumulative(n-m)
300,1.1,0.21,126.2038152,515.4600082,495.5537425,2.128391466,2.119814181,,,800,1.1,0.21,126.1908695,515.4639006,495.5462632,2.128335785,2.119801804,,,1300,1.1,0.21,126.2038152,515.4600082,495.5537425,2.128391466,2.119814181,,,1800,1.1,0.21,126.1908695,515.4639006,495.5462632,2.128335785,2.119750495,,,2300,1.1,0.21,126.2038152,515.4600082,495.5537425,2.128391466,2.119814181,,,,2800,1.1,0.21,126.2038152,515.4600082,495.5537425,2.128391466,2.119814181
300,1.1,0.22,128.8920521,533.9660785,500.7386383,2.202822836,2.193527814,,,800,1.1,0.22,128.8780405,533.9702467,500.7306521,2.202763397,2.193514333,,,1300,1.1,0.22,128.8920521,533.9660785,500.7386383,2.202822836,2.193527814,,,1800,1.1,0.22,128.8780405,533.9702467,500.7306521,2.202763397,2.193459335,,,2300,1.1,0.22,128.8920521,533.9660785,500.7386383,2.202822836,2.193527814,,,,2800,1.1,0.22,128.8920521,533.9660785,500.7386383,2.202822836,2.193527814
300,1.1,0.23,131.6109781,552.4873461,505.9226089,2.277167239,2.267028586,,,800,1.1,0.23,131.5957075,552.4918001,505.9140969,2.277103966,2.267014023,,,1300,1.1,0.23,131.6109781,552.4873461,505.9226089,2.277167239,2.267028586,,,1800,1.1,0.23,131.5957075,552.4918001,505.9140969,2.277103966,2.266955097,,,2300,1.1,0.23,131.6109781,552.4873461,505.9226089,2.277167239,2.267028586,,,,2800,1.1,0.23,131.6109781,552.4873461,505.9226089,2.277167239,2.267028586
300,1.1,0.24,136.7664104,568.628555,519.1774642,2.366501245,2.360990362,,,800,1.1,0.24,135.7767532,569.6025404,515.9625352,2.360542217,2.359853949,,,1300,1.1,0.24,136.7664104,568.628555,519.1774642,2.366501245,2.360990362,,,1800,1.1,0.24,135.7767532,569.6025404,515.9625352,2.360542217,2.354631576,,,2300,1.1,0.24,136.7664104,568.628555,519.1774642,2.366501245,2.360990362,,,,2800,1.1,0.24,136.7664104,568.628555,519.1774642,2.366501245,2.360990362
300,1.1,0.25,139.4312083,587.2416846,524.4035573,2.441710659,2.435520523,,,800,1.1,0.25,138.9133599,587.7350018,522.7945639,2.438654978,2.435353811,,,1300,1.1,0.25,139.4312083,587.2416846,524.4035573,2.441710659,2.435520523,,,1800,1.1,0.25,138.9133599,587.7350018,522.7945639,2.438654978,2.433242483,,,2300,1.1,0.25,139.4312083,587.2416846,524.4035573,2.441710659,2.435520523,,,,2800,1.1,0.25,139.4312083,587.2416846,524.4035573,2.441710659,2.435520523
300,1.1,0.26,142.1686346,605.8493319,529.620408,2.516685518,2.509711029,,,800,1.1,0.26,141.6379665,606.3455118,528.0132686,2.513601954,2.509540736,,,1300,1.1,0.26,142.1686346,605.8493319,529.620408,2.516685518,2.509711029,,,1800,1.1,0.26,141.6379665,606.3455118,528.0132686,2.513601954,2.507406829,,,2300,1.1,0.26,142.1686346,605.8493319,529.620408,2.516685518,2.509711029,,,,2800,1.1,0.26,142.1686346,605.8493319,529.620408,2.516685518,2.509711029
300,1.1,0.27,144.9055807,624.4963402,534.8578698,2.591906118,2.584149463,,,800,1.1,0.27,144.3618369,624.9955512,533.252336,2.588791551,2.583975374,,,1300,1.1,0.27,144.9055807,624.4963402,534.8578698,2.591906118,2.584149463,,,1800,1.1,0.27,144.3618369,624.9955512,533.252336,2.588791551,2.581816742,,,2300,1.1,0.27,144.9055807,624.4963402,534.8578698,2.591906118,2.584149463,,,,2800,1.1,0.27,144.9055807,624.4963402,534.8578698,2.591906118,2.584149463
300,1.1,0.28,147.5626469,643.2119669,540.1406578,2.667774831,2.659386545,,,800,1.1,0.28,147.0101002,643.7145658,538.5361553,2.664622454,2.659208122,,,1300,1.1,0.28,147.5626469,643.2119669,540.1406578,2.667774831,2.659386545,,,1800,1.1,0.28,147.0101002,643.7145658,538.5361553,2.664622454,2.657020062,,,2300,1.1,0.28,147.5626469,643.2119669,540.1406578,2.667774831,2.659386545,,,,2800,1.1,0.28,147.5626469,643.2119669,540.1406578,2.667774831,2.659386545
300,1.1,0.29,150.290556,661.9419445,545.4224592,2.743532708,2.734379933,,,800,1.1,0.29,149.7247981,662.4479314,543.8190423,2.740342941,2.734197168,,,1300,1.1,0.29,150.290556,661.9419445,545.4224592,2.743532708,2.734379933,,,1800,1.1,0.29,149.7247981,662.4479314,543.8190423,2.740342941,2.73197975,,,2300,1.1,0.29,150.290556,661.9419445,545.4224592,2.743532708,2.734379933,,,,2800,1.1,0.29,150.290556,661.9419445,545.4224592,2.743532708,2.734379933
300,1.2,0.2,136.8642095,535.6438251,513.2518124,2.306870473,2.297556029,,,800,1.2,0.2,136.8472327,535.6490006,513.2424311,2.306796723,2.297540684,,,1300,1.2,0.2,136.8642095,535.6438251,513.2518124,2.306870473,2.297556029,,,1800,1.2,0.2,136.8472327,535.6490006,513.2424311,2.306796723,2.297474387,,,2300,1.2,0.2,136.8642095,535.6438251,513.2518124,2.306870473,2.297556029,,,,2800,1.2,0.2,136.8642095,535.6438251,513.2518124,2.306870473,2.297556029
